hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
134.0,311.0101,310.94,2.308,-6.187,9.96,2.496,-1.0506106272930616e-05,3.2857021545479885e-05,6.923619144139031e-06,A
135.0,52.29,52.288,0.389,-0.199,8.64,5.048,-7.614958367394273e-06,5.071525455802874e-06,-2.900863471543628e-05,G
136.0,182.1189,166.04,1.242,74.809,6.6,0.298,3.023075065003689e-06,1.635078624468166e-05,-2.586795016718651e-05,K
137.0,335.8914,248.164,1.874,226.35,6.25,-1.381,1.3775649907171752e-06,7.588368397269071e-06,-3.009780079941089e-06,B
138.0,166.6553,159.762,1.22,-47.421,7.83,1.721,-7.735635924116342e-06,7.597674886812892e-05,2.259738384178671e-05,K
140.0,113.3884,42.282,0.335,-105.209,9.04,3.767,-1.0223843513140016e-05,5.526418483175554e-05,-2.517354287045528e-05,F
141.0,244.5157,196.929,1.559,144.93,8.47,1.528,1.0588944256782204e-05,2.2823398587850925e-05,1.5578654419892153e-05,K
142.0,60.3826,24.264,0.192,55.293,7.33,3.425,-1.2316269623761648e-05,1.6751681178877006e-06,-1.8850243436450608e-05,K
144.0,373.766,89.307,0.71,362.939,8.66,0.797,8.039375198238837e-06,3.4540371192636874e-05,-7.528029618908035e-06,K
146.0,132.1488,118.974,0.947,-57.512,8.96,3.355,-6.894983791696507e-05,-8.42042992395615e-05,-0.000210601767612,A
145.0,131.8486,131.66,1.048,-6.964,5.13,-0.47,2.304839064275648e-05,1.1629021165141053e-05,-7.835859657665178e-06,B
147.0,817.5589,763.098,6.207,293.336,8.49,-1.073,-1.0171686264048272e-05,2.593135701902353e-05,-2.657053899318703e-05,K
148.0,226.8455,218.557,1.827,60.731,8.15,1.371,-1.2315246932602986e-05,1.17609483246084e-05,2.587408631413848e-06,F
150.0,140.9993,112.262,0.941,-85.307,7.04,1.294,-6.78995340970196e-05,-1.383905675900877e-05,1.3810421406566245e-05,K
153.0,215.0696,209.838,1.774,47.117,8.9,2.237,6.727262441676005e-06,-1.27089830286877e-05,-2.948009533957928e-05,F
151.0,135.8696,101.578,0.86,-90.232,7.78,2.114,1.7324388227727502e-06,5.9128934720337725e-05,-1.5657401639109096e-05,F
154.0,126.9704,126.267,1.08,-13.303,4.37,-1.149,-1.5061172693609382e-05,2.8767279601992147e-05,-2.3489170532139623e-05,M
155.0,312.5,216.014,1.852,225.811,9.93,2.456,2.955577448532024e-06,2.300850568756868e-05,-3.015916226893058e-06,A
156.0,412.2473,184.852,1.603,368.477,8.6,0.524,1.4987538930185747e-05,1.911307506422664e-05,-5.430490052493095e-06,B
157.0,171.586,170.87,1.492,-15.593,8.51,2.338,2.9860536450601397e-05,3.252566961007352e-05,2.2075811350869293e-05,G
158.0,172.4768,136.09,1.19,-105.954,7.09,0.906,-3.3897098453838734e-05,0.0001009917746089,-1.1973668085610012e-05,K
159.0,63.9036,63.827,0.569,-3.084,6.93,2.902,9.200129663319754e-06,1.19286696746289e-05,-1.4798341065833351e-06,A
160.0,467.2897,165.404,1.478,-437.035,8.68,0.332,7.672229072279322e-06,3.296440411713935e-05,3.0148935357343967e-06,B
161.0,728.0136,605.678,5.417,403.892,8.98,-0.331,-3.398095912884898e-05,-8.821427127267363e-05,-7.47045210667539e-05,K
162.0,325.2394,289.473,2.594,148.255,9.84,2.279,-8.160052754960907e-06,-7.985172566829772e-06,-1.8340943239437136e-05,G
163.0,242.2016,208.281,1.88,-123.601,8.98,2.059,6.5135199895157295e-06,2.1035734442510448e-05,-1.2241613169179353e-06,A
164.0,261.696,131.08,1.188,226.498,7.98,0.891,-5.147511408891431e-05,0.0001432861901666,5.804795016563242e-06,G
166.0,107.6948,59.415,0.541,-89.821,8.86,3.699,6.1381923342869225e-06,-2.479412445059183e-05,-1.9812595816751178e-05,G
167.0,305.1966,236.557,2.179,192.824,8.58,1.157,-1.84084408559088e-06,8.8340062285189e-06,-7.776543570462806e-06,B
169.0,15.328,5.672,0.053,-14.24,9.24,8.313,-1.614624801294934e-05,1.52657109253417e-05,-6.374433991937752e-06,M
170.0,251.7514,235.221,2.207,-89.693,9.63,2.625,-3.4249926903576984e-06,-3.721470857253696e-05,-1.166583804685287e-05,F
171.0,12.1699,10.835,0.103,5.54,5.8,5.374,-9.993738002441155e-06,4.584417656932354e-05,-6.576824572236883e-05,G
172.0,1081.3019,415.365,3.936,998.334,9.05,-1.12,1.0090893662514009e-05,-8.548675395252314e-06,-4.164398398070035e-06,O
173.0,330.6581,223.05,2.14,244.087,8.45,0.853,1.247683213567152e-07,-1.1507320917260324e-05,-1.8022886289093376e-05,A
174.0,381.0653,190.723,1.836,329.897,8.86,0.955,-9.500800863966264e-07,2.5917039342802263e-05,-2.5669548082406155e-06,G
175.0,283.417,183.034,1.765,216.38,7.84,0.578,1.819060763911388e-05,-1.2530012075921924e-05,-1.955999110056176e-05,G
176.0,263.9482,188.484,1.821,184.768,8.86,1.752,-5.192203012524943e-06,2.4357435325843326e-05,-1.688872179413766e-05,K
177.0,203.8176,199.381,1.95,-42.252,8.93,2.384,4.285075954792104e-06,8.895367698038596e-06,-4.324960909979907e-06,A
178.0,110.7405,98.547,0.977,-50.508,7.97,2.748,1.6015343544640656e-06,4.953200088745727e-05,4.083605796535768e-06,F
179.0,62.1194,60.423,0.601,-14.404,6.9,2.934,1.5013106209152287e-06,7.896505243373811e-05,9.591820377087144e-06,G
180.0,389.0348,384.039,3.827,-62.031,8.47,0.52,2.4309368841386227e-06,8.797189346807084e-06,-2.698575160360364e-05,K
181.0,387.7158,189.713,1.9,338.125,6.77,-1.173,7.17826924264577e-06,-1.6776225766684885e-05,-3.0074278902761668e-05,M
182.0,425.9108,258.755,2.625,338.288,8.55,0.403,3.605702218093203e-05,1.0087825589038025e-05,4.003835886160163e-06,K
183.0,154.0832,133.807,1.362,-76.39,5.04,-0.899,1.2748867983875505e-05,7.345990592666272e-06,4.721765079540607e-06,B
184.0,33.7964,33.173,0.341,6.452,8.48,5.836,-1.6364081229744263e-05,-9.746246742045048e-07,-1.0317931099736882e-05,K
185.0,77.3994,76.028,0.783,14.484,8.53,4.086,1.2691597278990456e-06,-1.699712705695579e-05,-4.399821902793935e-05,F
186.0,123.7926,122.276,1.282,19.273,6.33,0.867,1.1502207461467016e-05,-4.479387274937808e-07,-3.569192143728984e-07,A
187.0,130.4046,129.669,1.363,-13.765,8.99,3.414,-1.0716780651614903e-05,4.533487637231007e-05,-2.1303679526079787e-05,F
188.0,102.8245,102.191,1.075,11.342,8.64,3.58,-8.086418991537271e-06,3.9456447592323193e-05,-2.6511222905984653e-05,F
189.0,316.4626,185.397,1.958,256.462,9.55,2.048,2.697859276549301e-06,-1.7573924870440933e-05,-1.908648509410144e-05,A
190.0,87.4891,85.941,0.908,16.358,8.74,4.03,3.602940951964817e-06,-2.092835187085098e-05,-5.058537278087872e-05,G
192.0,301.563,298.315,3.227,44.021,8.16,0.763,-2.444845483896421e-05,-4.28916671942675e-06,-4.549543888421993e-05,G
193.0,261.2275,202.389,2.196,-165.148,9.46,2.375,-8.731328036189275e-05,3.63720110577998e-05,1.181310557370014e-05,G
194.0,37.5561,37.143,0.404,5.542,5.7,2.827,1.249114981189278e-05,-1.6956219410609325e-05,-6.811123116686255e-06,F
195.0,113.1406,76.544,0.836,83.313,7.62,2.352,9.49875548164894e-06,6.624993325809844e-06,-1.2814320218029848e-05,F
196.0,1082.0432,668.66,7.318,850.681,8.95,-1.221,-1.6485781477624993e-06,2.3092366362578925e-06,-1.1167787452584672e-05,K
197.0,447.9537,332.1,3.665,300.597,8.97,0.714,9.028317548664603e-06,-1.609511345501626e-05,-1.2352063814314804e-05,K
198.0,267.9785,258.421,2.854,70.871,8.94,1.8,-3.873135956083211e-05,2.8013556218058544e-05,-1.939431513285858e-05,A
199.0,220.9237,212.078,2.351,61.845,7.24,0.519,-8.058806330253407e-06,-1.3815534862359554e-05,3.2480671199092417e-06,A
201.0,92.1659,87.304,0.974,29.524,8.24,3.417,-2.425823428345315e-06,-5.921381808650664e-06,7.3695124893154895e-06,F
